Session_id,Start_time,Peak_viewers,Gifts_from_viewers,Number_of_products,Number_of_goods_sold,Total_sales_amount,Duration,Views,Average_number_of_online_viewers,Number_of_likes,Number_of_new_followers,Fan Conversion Ratio,Number_of_new_fans,Per_customer_transaction,UV,Sales_conversion_value_ratio,Average_length_of_stay,Name,Host_category,Occupation,Date
617,6/21/21 13:13,8054,7150,7,779,99225.5,5hours8minutes3seconds,707081,4686,629768,17446,2.47%,2616,127.38,0.14,0.11%,2minutes4seconds,Qiu Yingying,K,We Media,6/21/21
618,6/19/21 15:34,6536,7293,82,53925,11288846.5,8hours57minutes4seconds,778854,5040,1565062,5398,0.69%,1272,209.34,14.5,6.92%,3minutes30seconds,Qiu Yingying,K,We Media,6/19/21
619,6/18/21 15:01,5660,5357,91,20195,10381999.2,9hours1minutes31seconds,692576,3947,155423,4677,0.68%,1040,514.09,14.99,2.92%,3minutes6seconds,Qiu Yingying,K,We Media,6/18/21
620,6/17/21 15:00,7602,10399,130,45490,12626477.06,8hours42minutes46seconds,785543,5293,705721,6585,0.84%,2182,277.57,16.07,5.79%,3minutes33seconds,Qiu Yingying,K,We Media,6/17/21
621,6/16/21 13:12,5159,4727,5,828,69491,4hours16minutes20seconds,396529,3518,664087,6800,1.71%,1458,83.93,0.18,0.21%,2minutes18seconds,Qiu Yingying,K,We Media,6/16/21
622,6/14/21 14:59,15680,14915,99,74179,22087763.79,9hours36minutes7seconds,1495773,7616,703527,25532,1.71%,4126,297.76,14.77,4.96%,2minutes58seconds,Qiu Yingying,K,We Media,6/14/21
623,6/13/21 13:13,8060,7712,5,155,9569.8,5hours47seconds,841221,4662,841009,32750,3.89%,3265,61.74,0.01,0.02%,1minutes42seconds,Qiu Yingying,K,We Media,6/13/21
624,6/12/21 14:59,6002,5575,115,23564,8183283,9hours49minutes32seconds,629442,3812,159015,3111,0.49%,543,347.28,13,3.74%,3minutes37seconds,Qiu Yingying,K,We Media,6/12/21
625,6/11/21 17:29,2243,1445,6,224,25517.6,2hours6minutes23seconds,100661,1780,110272,1157,1.15%,179,113.92,0.25,0.22%,2minutes19seconds,Qiu Yingying,K,We Media,6/11/21
626,6/11/21 15:00,2553,518,1,0,0,59minutes30seconds,56766,1921,13425,848,1.49%,51, ,0, ,2minutes11seconds,Qiu Yingying,K,We Media,6/11/21
627,6/10/21 18:00,5040,3797,68,28342,5163602.3,7hours3minutes30seconds,447635,3824,165750,1521,0.34%,412,182.19,11.54,6.33%,3minutes42seconds,Qiu Yingying,K,We Media,6/10/21
628,6/8/21 19:12,4425,4257,34,35922,3454850.59,5hours39minutes16seconds,324913,3014,24896,1073,0.33%,158,96.18,10.63,11.06%,3minutes10seconds,Qiu Yingying,K,We Media,6/8/21
629,6/8/21 19:04,537,0,1,0,0,34seconds,537,0,0,0,0.00%,0, ,0, ,,Qiu Yingying,K,We Media,6/8/21
630,6/8/21 19:03,993,0,1,0,0,29seconds,993,0,0,0,0.00%,0, ,0, ,,Qiu Yingying,K,We Media,6/8/21
631,6/8/21 16:32,4450,1079,8,14836,762571.78,1hours43minutes4seconds,107359,3042,14728,697,0.65%,498,51.4,7.1,13.82%,3minutes1seconds,Qiu Yingying,K,We Media,6/8/21
632,6/7/21 15:44,10131,20732,127,23608,12467357,8hours50minutes10seconds,824084,5196,960041,11167,1.36%,4197,528.1,15.13,2.86%,3minutes25seconds,Qiu Yingying,K,We Media,6/7/21
633,6/7/21 15:42,591,0,2,0,0,32seconds,591,0,120,0,0.00%,0, ,0, ,,Qiu Yingying,K,We Media,6/7/21
634,6/7/21 15:14,31940,0,2,0,0,18minutes5seconds,31940,0,37668,344,1.08%,0, ,0, ,,Qiu Yingying,K,We Media,6/7/21
635,6/6/21 15:02,10741,15151,6,960,60890,5hours20minutes41seconds,1038104,5814,143583,55917,5.39%,6432,63.43,0.06,0.09%,1minutes50seconds,Qiu Yingying,K,We Media,6/6/21
636,6/5/21 18:01,3395,912,33,1960,808264,3hours40minutes42seconds,150295,2757,23897,552,0.37%,22,412.38,5.38,1.30%,3minutes44seconds,Qiu Yingying,K,We Media,6/5/21
637,6/4/21 18:00,4521,2706,72,14708,3028275.3,7hours18minutes28seconds,345259,3022,124022,1448,0.42%,155,205.89,8.77,4.26%,3minutes56seconds,Qiu Yingying,K,We Media,6/4/21
638,6/2/21 18:01,5623,3664,93,15743,5733487.8,7hours10minutes9seconds,393663,3138,85174,5230,1.33%,570,364.19,14.57,4.00%,3minutes34seconds,Qiu Yingying,K,We Media,6/2/21
639,6/1/21 18:00,4773,2624,47,7397,2079045.72,6hours3minutes41seconds,284735,3201,54528,1073,0.38%,153,281.07,7.3,2.60%,4minutes14seconds,Qiu Yingying,K,We Media,6/1/21
640,8/26/21 22:09,58285,59273,50,57191,2659029.04,3hours58minutes48seconds,2744270,22491,2716062,13170,0.48%,1782,46.49,0.97,2.08%,2minutes12seconds,Chen SanfeiGG,K,We Media,8/26/21
641,8/26/21 21:51,53179,9642,23,15266,120629.79,16minutes49seconds,442884,26727,225253,2531,0.57%,0,7.9,0.27,3.45%,1minutes25seconds,Chen SanfeiGG,K,We Media,8/26/21
642,8/26/21 20:25,56385,90243,33,51044,1882591.67,1hours25minutes27seconds,1904233,40379,2433596,12621,0.66%,0,36.88,0.99,2.68%,2minutes,Chen SanfeiGG,K,We Media,8/26/21
643,8/26/21 20:11,46846,5888,22,10767,134695.3,12minutes20seconds,285733,15930,327038,1857,0.65%,0,12.51,0.47,3.77%,1minutes3seconds,Chen SanfeiGG,K,We Media,8/26/21
644,8/25/21 22:47,39665,36084,51,46267,1756942.14,3hours32minutes58seconds,2343244,13245,1921324,10711,0.46%,910,37.97,0.75,1.97%,1minutes23seconds,Chen SanfeiGG,K,We Media,8/25/21
645,8/25/21 21:00,79042,81186,42,78178,2937100.3,1hours47minutes34seconds,3279273,58376,3355737,20371,0.62%,2059,37.57,0.9,2.38%,2minutes,Chen SanfeiGG,K,We Media,8/25/21
646,8/25/21 20:39,69429,20235,32,14651,131720.27,17minutes59seconds,574831,38578,663182,4478,0.78%,0,8.99,0.23,2.55%,1minutes33seconds,Chen SanfeiGG,K,We Media,8/25/21
647,8/25/21 20:23,80140,10584,30,26440,168630.72,15minutes36seconds,564312,44926,704439,4813,0.85%,0,6.38,0.3,4.69%,1minutes26seconds,Chen SanfeiGG,K,We Media,8/25/21
648,8/25/21 20:07,60841,16554,31,5909,55740.25,15minutes57seconds,375064,27735,459781,3214,0.86%,0,9.43,0.15,1.58%,1minutes33seconds,Chen SanfeiGG,K,We Media,8/25/21
649,8/23/21 22:14,93011,0,55,96313,4315805.16,3hours58minutes4seconds,3796435,35020,4170505,31553,0.83%,8470,44.81,1.14,2.54%,2minutes14seconds,Chen SanfeiGG,K,We Media,8/23/21
650,8/23/21 20:11,102750,0,44,109169,3812965.86,1hours59minutes29seconds,3686482,66822,4591941,35203,0.95%,8366,34.93,1.03,2.96%,2minutes14seconds,Chen SanfeiGG,K,We Media,8/23/21
651,8/22/21 22:09,76441,71813,49,93062,2974620.76,3hours40minutes40seconds,3253561,33827,4003489,26509,0.81%,9098,31.96,0.92,2.86%,2minutes21seconds,Chen SanfeiGG,K,We Media,8/22/21
652,8/22/21 20:09,89067,84887,42,117904,3292194.14,1hours59minutes20seconds,3300543,60549,4995043,33168,1.00%,10784,27.92,1,3.57%,2minutes18seconds,Chen SanfeiGG,K,We Media,8/22/21
653,8/20/21 20:13,92494,122638,84,223881,6559771.74,6hours5minutes37seconds,7028444,45109,9290973,55781,0.79%,17898,29.3,0.94,3.19%,2minutes23seconds,Chen SanfeiGG,K,We Media,8/20/21
654,8/19/21 20:07,70691,150007,81,196678,6830594.51,5hours52minutes35seconds,5593500,41820,10030362,48900,0.87%,18991,34.73,1.22,3.52%,2minutes40seconds,Chen SanfeiGG,K,We Media,8/19/21
655,8/17/21 23:38,80331,43857,61,95397,3222875.38,2hours23minutes49seconds,2374829,41276,3509537,24314,1.02%,5602,33.78,1.36,4.02%,2minutes34seconds,Chen SanfeiGG,K,We Media,8/17/21
656,8/17/21 20:07,110465,137883,73,323422,7588749.52,3hours30minutes47seconds,7414598,75443,9169149,80466,1.09%,21982,23.46,1.03,4.36%,2minutes13seconds,Chen SanfeiGG,K,We Media,8/17/21
657,8/17/21 0:00,62213,32921,56,44054,1396584.78,2hours32minutes25seconds,1334556,22302,2262123,12020,0.90%,3645,31.7,1.05,3.30%,2minutes38seconds,Chen SanfeiGG,K,We Media,8/17/21
658,8/16/21 21:54,106412,72277,61,172102,4529567.92,2hours5minutes45seconds,3593061,70439,5064898,39496,1.10%,10255,26.32,1.26,4.79%,2minutes31seconds,Chen SanfeiGG,K,We Media,8/16/21
659,8/16/21 20:08,79370,71145,50,80360,2622199.15,1hours46minutes9seconds,2751566,55820,4671225,26691,0.97%,12334,32.63,0.96,2.92%,2minutes17seconds,Chen SanfeiGG,K,We Media,8/16/21
660,8/14/21 22:49,51457,60798,56,45228,2299307.78,3hours28minutes50seconds,2868635,22696,3742018,18778,0.65%,4205,50.84,0.8,1.58%,1minutes44seconds,Chen SanfeiGG,K,We Media,8/14/21
661,8/14/21 20:51,3628357,0,53,102284,4040291.79,1hours58minutes31seconds,3628357,0,5784551,31442,0.87%,0,39.5,1.11,2.82%,,Chen SanfeiGG,K,We Media,8/14/21
662,8/14/21 20:09,1222116,53264,33,3390,67872.82,41minutes13seconds,1222116,0,2453332,15387,1.26%,0,20.02,0.06,0.28%,,Chen SanfeiGG,K,We Media,8/14/21
663,8/12/21 23:08,78983,72979,55,45803,2276616.59,3hours38minutes42seconds,3273107,29844,4217240,25131,0.77%,9427,49.7,0.7,1.40%,2minutes2seconds,Chen SanfeiGG,K,We Media,8/12/21
664,8/12/21 20:18,89503,140067,48,112405,4755254.43,2hours50minutes,5847170,66749,8059088,48974,0.84%,22793,42.3,0.82,1.92%,1minutes58seconds,Chen SanfeiGG,K,We Media,8/12/21
665,8/12/21 20:09,43743,5412,28,310,5319.21,8minutes6seconds,196907,16043,212088,1900,0.96%,0,17.16,0.03,0.16%,59seconds,Chen SanfeiGG,K,We Media,8/12/21
666,8/11/21 22:56,90563,68931,58,53513,2439909.85,3hours16minutes59seconds,3194052,32827,3804593,24255,0.76%,8668,45.59,0.77,1.68%,2minutes5seconds,Chen SanfeiGG,K,We Media,8/11/21
667,8/11/21 20:11,117165,150933,59,120182,4647864.01,2hours44minutes37seconds,6015245,75360,9939198,50384,0.84%,11112,38.67,0.78,2.00%,2minutes8seconds,Chen SanfeiGG,K,We Media,8/11/21
668,8/10/21 22:17,57517,48837,49,37462,1517530.42,3hours11minutes50seconds,2291742,24737,3592202,8489,0.37%,2683,40.51,0.66,1.63%,2minutes6seconds,Chen SanfeiGG,K,We Media,8/10/21
669,8/10/21 22:05,60884,8465,21,447,8480.06,12minutes3seconds,340920,25198,239959,2333,0.68%,0,18.97,0.03,0.13%,1minutes14seconds,Chen SanfeiGG,K,We Media,8/10/21
670,8/10/21 20:09,61165,56534,39,26591,1567504.88,1hours47minutes18seconds,2130243,38176,4005443,12288,0.58%,2364,58.95,0.74,1.25%,2minutes1seconds,Chen SanfeiGG,K,We Media,8/10/21
671,8/9/21 22:13,72755,54372,58,71147,2623708.87,3hours48minutes28seconds,3491381,29327,4348921,17134,0.49%,2703,36.88,0.75,2.04%,2minutes5seconds,Chen SanfeiGG,K,We Media,8/9/21
672,8/9/21 20:09,77020,84388,46,64797,2067605.5,2hours2minutes40seconds,3489142,54800,4133147,16801,0.48%,1905,31.91,0.6,1.86%,1minutes58seconds,Chen SanfeiGG,K,We Media,8/9/21
673,8/6/21 0:55,11481,31905,59,40241,1616698.78,1hours4minutes7seconds,2548365,6748,2836706,14523,0.57%,-75,40.18,0.64,1.58%,10seconds,Chen SanfeiGG,K,We Media,8/6/21
674,8/5/21 20:09,73320,60481,57,72443,3344949.65,2hours42minutes48seconds,4950545,57421,5241260,22550,0.46%,1389,46.17,0.68,1.46%,1minutes54seconds,Chen SanfeiGG,K,We Media,8/5/21
675,8/4/21 22:24,118542,53630,59,49859,2465854.28,3hours15minutes55seconds,4016898,37287,4165994,20540,0.51%,3693,49.46,0.62,1.24%,1minutes53seconds,Chen SanfeiGG,K,We Media,8/4/21
676,8/4/21 20:07,90118,98739,52,66628,3251382.89,2hours16minutes34seconds,5007295,65338,4934064,25631,0.51%,3559,48.8,0.65,1.33%,1minutes49seconds,Chen SanfeiGG,K,We Media,8/4/21
677,8/2/21 23:44,38985,15621,49,17354,656092.34,2hours23minutes42seconds,1173809,14338,1263702,4583,0.39%,425,37.81,0.56,1.48%,1minutes50seconds,Chen SanfeiGG,K,We Media,8/2/21
678,8/2/21 21:24,83508,50538,63,52334,2359741.76,2hours19minutes42seconds,3412341,50406,4441484,16928,0.50%,3077,45.09,0.69,1.53%,2minutes9seconds,Chen SanfeiGG,K,We Media,8/2/21
679,8/2/21 20:09,81071,35095,47,36768,1085748.47,1hours2minutes37seconds,1888872,53781,2802795,12852,0.68%,1587,29.53,0.58,1.95%,1minutes56seconds,Chen SanfeiGG,K,We Media,8/2/21
680,8/1/21 23:00,81690,32538,54,36184,1694014.82,3hours14minutes32seconds,2402413,26443,2567723,10517,0.44%,1260,46.82,0.71,1.51%,2minutes12seconds,Chen SanfeiGG,K,We Media,8/1/21
681,8/1/21 22:16,119078,26276,41,13172,733730.52,33minutes56seconds,1355127,68735,1641540,12293,0.91%,0,55.7,0.54,0.97%,1minutes49seconds,Chen SanfeiGG,K,We Media,8/1/21
682,8/1/21 20:08,113451,82858,58,102026,4654702.13,2hours7minutes39seconds,5209259,85488,7024754,42244,0.81%,5984,45.62,0.9,1.96%,2minutes9seconds,Chen SanfeiGG,K,We Media,8/1/21
683,7/31/21 22:54,138929,50074,68,32390,2121151.24,3hours15minutes27seconds,3763132,38336,4074139,24339,0.65%,5161,65.49,0.56,0.86%,2minutes5seconds,Chen SanfeiGG,K,We Media,7/31/21
684,7/31/21 20:08,135733,97196,82,145237,4793192.27,2hours45minutes32seconds,7885418,97384,7989840,48440,0.61%,6806,33,0.61,1.84%,2minutes6seconds,Chen SanfeiGG,K,We Media,7/31/21
685,7/31/21 14:28,110083,34097,56,33999,865810.39,51minutes29seconds,2087497,69986,2616168,19607,0.94%,1009,25.47,0.42,1.63%,1minutes52seconds,Chen SanfeiGG,K,We Media,7/31/21
686,7/31/21 12:42,145464,64372,74,87552,3492534.36,1hours32minutes35seconds,5006070,101035,5498084,49455,0.99%,3833,39.89,0.7,1.75%,1minutes54seconds,Chen SanfeiGG,K,We Media,7/31/21
687,7/31/21 12:09,151224,31335,50,24315,632245.78,31minutes42seconds,1918099,95661,2959948,21394,1.12%,0,26,0.33,1.27%,1minutes45seconds,Chen SanfeiGG,K,We Media,7/31/21
688,7/30/21 21:13,207892,71481, , , ,32minutes27seconds,1902001,116918,5056799,25733,1.35%,0, ,0, ,2minutes8seconds,Chen SanfeiGG,K,We Media,7/30/21
689,7/30/21 21:11,2680,0,30,0,0,41seconds,2680,0,103,1,0.04%,0, ,0, ,,Chen SanfeiGG,K,We Media,7/30/21
690,7/29/21 23:16,115916,79334,61,69956,3444335.7,3hours48minutes32seconds,3815652,37907,5318712,51138,1.34%,655,49.24,0.9,1.83%,2minutes17seconds,Chen SanfeiGG,K,We Media,7/29/21
691,7/29/21 20:12,113158,107232,52,126659,6318451.71,3hours4minutes13seconds,7918237,83433,8659297,72033,0.91%,2956,49.89,0.8,1.60%,1minutes55seconds,Chen SanfeiGG,K,We Media,7/29/21
692,7/28/21 23:21,103259,66631,65,43074,2066133.78,3hours24minutes34seconds,3016049,31684,4317936,32198,1.07%,7537,47.97,0.69,1.43%,2minutes12seconds,Chen SanfeiGG,K,We Media,7/28/21
693,7/28/21 20:09,127697,118461,65,149635,6287901.5,3hours11minutes43seconds,8272921,85091,8624810,88594,1.07%,8840,42.02,0.76,1.81%,2minutes,Chen SanfeiGG,K,We Media,7/28/21
694,7/27/21 23:03,154871,79103,65,51910,2885551.03,3hours42minutes22seconds,4211142,41211,5139687,64417,1.53%,8173,55.59,0.69,1.23%,2minutes13seconds,Chen SanfeiGG,K,We Media,7/27/21
695,7/27/21 20:10,128689,117226,63,109885,5646547.39,2hours52minutes35seconds,8003844,89344,8726168,81809,1.02%,9422,51.39,0.71,1.37%,1minutes58seconds,Chen SanfeiGG,K,We Media,7/27/21
696,7/26/21 19:54,141930,187285,91,152839,9989638.98,7hours4minutes10seconds,11953123,56988,11792616,105596,0.88%,12103,65.36,0.84,1.28%,2minutes2seconds,Chen SanfeiGG,K,We Media,7/26/21
697,7/26/21 18:15,121447,74877,67,63707,2722907.68,1hours28minutes33seconds,3868527,82562,5580536,42497,1.10%,3794,42.74,0.71,1.65%,1minutes58seconds,Chen SanfeiGG,K,We Media,7/26/21
698,7/26/21 18:09,11350,1317,45,113,1244.31,3minutes28seconds,100729,3784,61086,271,0.27%,0,11.01,0.01,0.11%,11seconds,Chen SanfeiGG,K,We Media,7/26/21
699,7/22/21 20:08,91742,143311,80,112822,6263872.97,6hours26minutes51seconds,9342338,49175,10919296,67276,0.72%,8430,55.52,0.67,1.21%,2minutes1seconds,Chen SanfeiGG,K,We Media,7/22/21
700,7/21/21 23:08,139575,79872,60,47629,3155907.32,3hours37minutes56seconds,3865317,34511,3794227,34919,0.90%,9020,66.26,0.82,1.23%,1minutes58seconds,Chen SanfeiGG,K,We Media,7/21/21
701,7/21/21 20:10,122686,126355,68,111127,7093614.67,2hours58minutes6seconds,8572728,90783,9387142,83434,0.97%,9518,63.83,0.83,1.30%,1minutes54seconds,Chen SanfeiGG,K,We Media,7/21/21
702,7/21/21 20:08,22465,465,45,14,200.71,2minutes,36235,7489,32886,56,0.15%,0,14.34,0.01,0.04%,37seconds,Chen SanfeiGG,K,We Media,7/21/21
703,7/21/21 0:17,69306,37296,64,28062,1118134.17,2hours52minutes33seconds,1723112,20340,2121169,18305,1.06%,1136,39.85,0.65,1.63%,2minutes5seconds,Chen SanfeiGG,K,We Media,7/21/21
704,7/20/21 18:37,107777,210416,89,171348,8253095.56,5hours40minutes4seconds,10257855,63028,13894551,77930,0.76%,12032,48.17,0.81,1.67%,2minutes6seconds,Chen SanfeiGG,K,We Media,7/20/21
705,7/20/21 18:21,74579,0,28,78,1801.44,3minutes49seconds,74579,0,56552,215,0.29%,0,23.1,0.02,0.10%,,Chen SanfeiGG,K,We Media,7/20/21
706,7/20/21 18:09,54681,4113,29,1878,9411.98,7minutes4seconds,197905,23925,155501,1007,0.51%,0,5.01,0.05,0.95%,1minutes9seconds,Chen SanfeiGG,K,We Media,7/20/21
707,7/19/21 0:08,101967,44099,58,39225,1457084.21,2hours54minutes41seconds,2072440,23195,2423782,16168,0.78%,1051,37.15,0.71,1.89%,2minutes1seconds,Chen SanfeiGG,K,We Media,7/19/21
708,7/18/21 23:59,101889,14210,31,264,5762,8minutes48seconds,365225,44603,336169,12532,3.43%,0,21.83,0.02,0.07%,1minutes33seconds,Chen SanfeiGG,K,We Media,7/18/21
709,7/18/21 21:58,309231,184462,63,173602,10140785.48,2hours43seconds,9625074,162332,9919477,199654,2.07%,17423,58.41,1.06,1.80%,2minutes5seconds,Chen SanfeiGG,K,We Media,7/18/21
710,7/18/21 18:09,151928,266555,80,198969,10846987.15,3hours47minutes20seconds,11196365,97070,15609058,208424,1.86%,21734,54.52,0.97,1.78%,2minutes1seconds,Chen SanfeiGG,K,We Media,7/18/21
711,7/16/21 23:11,78205,45076,61,36202,1505589.8,2hours59minutes47seconds,2511511,26628,2180514,15484,0.62%,1595,41.59,0.6,1.44%,1minutes56seconds,Chen SanfeiGG,K,We Media,7/16/21
712,7/16/21 20:40,79257,77830,59,62214,4191970.5,2hours28minutes22seconds,4262837,56711,4705647,29120,0.68%,3780,67.38,0.99,1.46%,2minutes2seconds,Chen SanfeiGG,K,We Media,7/16/21
713,7/16/21 20:10,79343,40672,35,9774,257786.15,28minutes6seconds,646298,41335,1407442,10484,1.62%,0,26.37,0.41,1.51%,2minutes4seconds,Chen SanfeiGG,K,We Media,7/16/21
714,7/15/21 21:57,91179,61872,83,92691,5328273.4,4hours33minutes48seconds,4632650,36703,4727471,32933,0.71%,5954,57.48,1.15,2.00%,2minutes11seconds,Chen SanfeiGG,K,We Media,7/15/21
715,7/15/21 20:49,91675,45226,42,47648,2477150.73,1hours8minutes17seconds,2002019,62460,3189290,19268,0.96%,433,51.99,1.24,2.38%,2minutes14seconds,Chen SanfeiGG,K,We Media,7/15/21
716,7/15/21 20:40,56301,6418,32,60,2023.77,6minutes36seconds,223517,17318,247061,893,0.40%,0,33.73,0.01,0.03%,48seconds,Chen SanfeiGG,K,We Media,7/15/21
717,7/15/21 20:23,83947,24655,33,2800,12163.83,13minutes13seconds,333245,43118,1937392,14427,4.33%,0,4.34,0.04,0.84%,2minutes8seconds,Chen SanfeiGG,K,We Media,7/15/21
718,7/15/21 20:10,77213,7195,31,118,3928,12minutes52seconds,341453,35116,483348,5491,1.61%,0,33.29,0.01,0.03%,1minutes34seconds,Chen SanfeiGG,K,We Media,7/15/21
719,7/13/21 20:12,105415,203545,90,146348,7162801.03,5hours54minutes41seconds,8043712,51215,17543564,127064,1.58%,23374,48.94,0.89,1.82%,2minutes17seconds,Chen SanfeiGG,K,We Media,7/13/21
720,7/12/21 20:11,122692,282715,94,207585,11923232.97,6hours30minutes18seconds,9133883,61529,23171842,145495,1.59%,22783,57.44,1.31,2.27%,2minutes41seconds,Chen SanfeiGG,K,We Media,7/12/21
721,7/12/21 12:10,127465,257109,98,158520,9053556.03,5hours42minutes58seconds,8151260,63122,24369093,139908,1.72%,23285,57.11,1.11,1.94%,2minutes40seconds,Chen SanfeiGG,K,We Media,7/12/21
722,7/10/21 20:10,66481,97479,92,109834,4310128.76,5hours49minutes8seconds,5941583,32647,6703083,38530,0.65%,5986,39.24,0.73,1.85%,1minutes56seconds,Chen SanfeiGG,K,We Media,7/10/21
723,7/9/21 20:14,58525,46810,71,144441,1957644.49,4hours8minutes41seconds,4083551,28115,3710590,14630,0.36%,2189,13.55,0.48,3.54%,1minutes44seconds,Chen SanfeiGG,K,We Media,7/9/21
724,7/8/21 21:34,82319,50998,99,63729,2408172.57,4hours10minutes34seconds,3873620,28407,3380282,22209,0.57%,2499,37.79,0.62,1.65%,1minutes52seconds,Chen SanfeiGG,K,We Media,7/8/21
725,7/8/21 20:09,52936,29910,48,33221,1147404.84,1hours22minutes12seconds,1772496,39379,2943242,13171,0.74%,1173,34.54,0.65,1.87%,1minutes55seconds,Chen SanfeiGG,K,We Media,7/8/21
726,7/7/21 20:08,69934,140793,99,143940,6189895.37,6hours2minutes12seconds,6279665,37910,9007879,58070,0.92%,8365,43,0.99,2.29%,2minutes12seconds,Chen SanfeiGG,K,We Media,7/7/21
727,7/6/21 20:19,68325,98485,64,106066,3034071.75,3hours4minutes,4546044,49230,7493661,32914,0.72%,4697,28.61,0.67,2.33%,2minutes1seconds,Chen SanfeiGG,K,We Media,7/6/21
728,7/6/21 20:10,61357,0,23,59,1486.2,8minutes59seconds,231296,27883,315654,2143,0.93%,0,25.19,0.01,0.03%,1minutes26seconds,Chen SanfeiGG,K,We Media,7/6/21
729,7/4/21 20:08,100131,109336,86,122249,3786489.2,5hours51minutes5seconds,6365700,35034,8886337,43822,0.69%,7601,30.97,0.6,1.92%,1minutes58seconds,Chen SanfeiGG,K,We Media,7/4/21
730,7/3/21 20:10,89725,145435,95,154511,6523625.56,6hours39minutes1seconds,8144073,43968,13529450,62638,0.77%,10275,42.22,0.8,1.90%,2minutes11seconds,Chen SanfeiGG,K,We Media,7/3/21
731,7/2/21 20:10,108384,260172,106,219989,12663250.65,5hours53minutes40seconds,8745401,57101,18055206,95095,1.09%,14585,57.56,1.45,2.52%,2minutes20seconds,Chen SanfeiGG,K,We Media,7/2/21
732,7/2/21 12:10,184447,590503,129,386880,20485417.42,5hours42minutes49seconds,13015163,107944,38889501,277941,2.14%,66443,52.95,1.58,2.97%,2minutes52seconds,Chen SanfeiGG,K,We Media,7/2/21
733,6/27/21 1:03,40128,15259,44,14272,529888.99,1hours46minutes10seconds,795965,15652,1130591,6003,0.75%,6740,37.13,0.67,1.79%,2minutes9seconds,Chen SanfeiGG,K,We Media,6/27/21
734,6/26/21 20:09,154154,454601,106,239987,12149822.51,4hours51minutes31seconds,8894878,89424,39876399,146510,1.65%,13255,50.63,1.37,2.70%,2minutes59seconds,Chen SanfeiGG,K,We Media,6/26/21
735,6/26/21 14:36,164869,348613,98,224384,8873947.02,3hours19minutes4seconds,7057356,111097,27269242,145335,2.06%,28497,39.55,1.26,3.18%,3minutes12seconds,Chen SanfeiGG,K,We Media,6/26/21
736,6/26/21 12:10,194173,444414,79,225736,11446850.64,2hours25minutes8seconds,6320478,144592,29628374,156393,2.47%,32725,50.71,1.82,3.57%,3minutes25seconds,Chen SanfeiGG,K,We Media,6/26/21
737,6/21/21 20:08,253983,742020,118,387698,26175818.38,6hours46minutes42seconds,15063461,111559,54787794,403995,2.68%,66362,67.52,1.74,2.57%,3minutes2seconds,Chen SanfeiGG,K,We Media,6/21/21
738,6/21/21 12:10,198603,541730,98,424849,19335384.1,5hours18minutes14seconds,11982049,118481,41156808,353303,2.95%,67551,45.51,1.62,3.55%,3minutes11seconds,Chen SanfeiGG,K,We Media,6/21/21
739,6/17/21 20:08,249136,622996,102,429850,19105673.41,6hours14minutes30seconds,10987640,93711,40030633,269146,2.45%,50434,44.45,1.74,3.91%,3minutes13seconds,Chen SanfeiGG,K,We Media,6/17/21
740,6/17/21 12:10,275792,906431,94,623997,29083973.11,5hours21minutes52seconds,14406163,149514,66890809,472773,3.28%,100243,46.61,2.03,4.33%,3minutes23seconds,Chen SanfeiGG,K,We Media,6/17/21
741,6/13/21 22:14,58796,34295,86,45783,1762794.44,3hours51minutes12seconds,2161165,21091,2322335,10090,0.47%,3282,38.5,0.82,2.12%,2minutes18seconds,Chen SanfeiGG,K,We Media,6/13/21
742,6/13/21 20:07,38825,23349,51,22664,1285928.52,1hours58minutes55seconds,1546464,25907,2581426,7388,0.48%,1186,56.74,0.83,1.47%,2minutes3seconds,Chen SanfeiGG,K,We Media,6/13/21
743,6/12/21 22:21,67963,52300,76,38804,1901445.33,4hours1minutes36seconds,2786245,23931,4256869,14775,0.53%,7334,49,0.68,1.39%,2minutes6seconds,Chen SanfeiGG,K,We Media,6/12/21
744,6/12/21 20:22,36459,15035,39,15849,1019264.45,1hours54minutes47seconds,1350635,23766,2110665,3494,0.26%,842,64.31,0.76,1.17%,2minutes5seconds,Chen SanfeiGG,K,We Media,6/12/21
745,6/12/21 20:07,19356,762,31,2,250,6minutes37seconds,73732,6065,250872,124,0.17%,0,125,0,0.00%,50seconds,Chen SanfeiGG,K,We Media,6/12/21
746,6/11/21 22:07,57688,33138,71,57765,2166319.97,4hours17minutes50seconds,2517073,20753,1157079,8109,0.32%,2351,37.5,0.86,2.29%,2minutes10seconds,Chen SanfeiGG,K,We Media,6/11/21
747,6/11/21 20:08,44982,27302,40,19762,908472.53,1hours55minutes47seconds,1469395,26838,2926128,5247,0.36%,3806,45.97,0.62,1.34%,2minutes11seconds,Chen SanfeiGG,K,We Media,6/11/21
748,6/10/21 21:15,45077,33744,83,66450,2455159.37,5hours10minutes43seconds,2987380,21198,2477977,8124,0.27%,2251,36.95,0.82,2.22%,2minutes14seconds,Chen SanfeiGG,K,We Media,6/10/21
749,6/10/21 20:09,45817,25435,41,4962,356800.9,1hours42seconds,712170,25035,4158578,5176,0.73%,-532,71.91,0.5,0.70%,2minutes17seconds,Chen SanfeiGG,K,We Media,6/10/21
