Video_content,Release_time,The_video_duration,Estimated_Sales_volume_(pieces),Estimated_sales_amount,Number_of_likes,Number_of_comments,Number_of_reposts,Name
我们今天正式搬家了……,06-21 10:31:02,27秒,--,--,214074,3600,507,Chen SanfeiGG
今天是我在广西，第一套房子的乔迁之喜，全家人都到了，谢谢老公布置的仪式感，中午12点直播哦,06-21 07:57:25,11秒,--,--,186334,3924,626,Chen SanfeiGG
今天搬新家了，大吉大利！中午12点 直播哦,06-21 06:59:00,18秒,--,--,213195,3471,4092,Chen SanfeiGG
这么多年在我的印象中，姐夫一直不是个很浪漫的人。今天浪不浪漫先不说，反正我感觉有点帅……,06-17 18:58:37,21秒,--,--,397328,10744,2083,Chen SanfeiGG
公主的鞠躬礼仪 只想献给我的2700w粉丝 感谢你们??,06-17 15:17:18,8秒,--,--,136111,55,471,Chen SanfeiGG
今天是我的生日，大家可以给我一个祝福吗？,06-17 12:10:14,8秒,--,--,305207,12946,1035,Chen SanfeiGG
女主角登场了，今天我给老婆当司机，爸爸妈妈给当保镖，老婆今天生日最大，已经到达现场了，中午12点准时开播,06-17 09:59:34,11秒,--,--,200032,7760,611,Chen SanfeiGG
生日倒计时最后1天，老公为了我17号的生日，已经好几天没有回家了，今天偷偷来给他一个惊喜??,06-16 15:30:20,10秒,--,--,114828,3634,432,Chen SanfeiGG
6.17号就是我的生日了 没想到老公这么重视 找到这样的老公 真的睡觉都要笑醒了！ #魔性摇摆头,06-15 15:49:56,7秒,--,--,227734,6367,831,Chen SanfeiGG
#端午道安康 这个游戏不建议孕妈玩！我投降 我认输！玩了几十遍终于还是……没过！,06-14 14:24:17,17秒,--,--,126951,1539,484,Chen SanfeiGG
奶奶知道我孕晚期，特意大老远给我带来她养的老母鸡和蛋，明知道我什么都不缺，但总想把最好给我，瞬间泪奔了#奶奶,06-13 18:37:14,12秒,--,--,317055,4256,467,Chen SanfeiGG
第一次带老公回娘家，自从老公知道这些田地都是我的之后，感觉整个人都飘了……,06-13 16:34:35,13秒,--,--,110138,1854,312,Chen SanfeiGG
和老公的第一套房子 以后这个就是我们的小窝了??,06-12 20:20:53,29秒,--,--,131993,3818,680,Chen SanfeiGG
把一家人聚在一起 就是最大的幸福??,06-12 19:16:08,44秒,--,--,164592,5735,763,Chen SanfeiGG
我不想在家种田 我要到大城市当老板……,06-12 16:39:08,12秒,--,--,178648,2381,746,Chen SanfeiGG
婆婆送我的房子，终于装修好了，感恩遇到这么好的公婆??,06-11 18:53:19,34秒,--,--,192337,5012,663,Chen SanfeiGG
从杭州到广西老家，1000多公里，一回到家就看到，丈母娘提前把卫生都弄好了，还准备好了丰盛的饭菜，满满的爱??,06-10 18:27:10,12秒,--,--,132779,1445,311,Chen SanfeiGG
还好有老爸 不然我麻烦就大了……,06-08 18:26:07,16秒,--,--,333356,3530,1054,Chen SanfeiGG
你对我好 我心里都知道 感恩遇到好婆婆??,06-08 16:51:50,13秒,--,--,274108,5703,1428,Chen SanfeiGG
出门居然碰到抢包的，还好我机智，一定要看到最后??,06-08 16:06:31,17秒,--,--,110906,1703,571,Chen SanfeiGG
马上给员工发工资了，差不多120w，有压力才有动力，我会继续加油的！,06-07 20:05:48,44秒,--,--,138279,4717,1112,Chen SanfeiGG
好久没有和弟媳一起跳舞了，还有一个月多月我就要生了，希望把好运传给她，哈哈……??,06-05 21:01:37,16秒,--,--,193285,4708,595,Chen SanfeiGG
我妈催我结婚了……,06-05 20:30:14,30秒,--,--,166405,4333,356,Chen SanfeiGG
老爸真是害人害己啊……,06-04 16:18:07,42秒,--,--,174515,2561,2608,Chen SanfeiGG
不是我衣品差，是怀孕后真的很难买衣服……??,06-03 18:15:09,32秒,--,--,131162,17925,492,Chen SanfeiGG
很多人想看孕妇化妆，今天满足一下大家……,06-02 09:00:54,47秒,--,--,167760,14659,971,Chen SanfeiGG
,,,,,,,,
能来我这个仓库我真的太荣幸，今天来的帅锅真的人超好，小细节太棒了太暖了#明星,08-29 19:47:55,13秒,--,--,41845,2956,391,Rainbow Couple
不得不改变频率了，竞争太激烈了，必须增加次数了，谢谢理解#直播,08-29 19:40:59,44秒,--,--,52291,5710,715,Rainbow Couple
真的又好气又好笑，你们太有才了，这届粉丝太难带#搞笑 #沙雕,08-29 19:24:59,25秒,--,--,88074,8176,2311,Rainbow Couple
不要观望，也不要笑话别人，自己也试一试，加油#感谢抖音,08-29 11:57:03,1分54秒,--,--,168314,16494,47843,Rainbow Couple
虽然很少带他，但他每次看到我都是笑嘻嘻的，好奇怪#宝贝,08-29 11:48:42,18秒,--,--,16892,621,65,Rainbow Couple
我们的经历还在不断更新，一路走来，经历了太多，还好彼此不离不弃#夫妻 #感恩,08-29 11:30:07,2分8秒,--,--,22279,1439,1209,Rainbow Couple
好开心认识了不少人，不过都比我好看，走出去才发现真的好多美女啊，以后还是不出去了,08-29 11:03:03,16秒,--,--,16463,833,83,Rainbow Couple
突然觉得没有信心，心里没底，但是去弄有来不及了，哎，好方#披荆斩棘的哥哥,08-29 10:54:26,31秒,--,--,52128,3060,540,Rainbow Couple
机场一碗面25元，泡面10元，她纠结了一下，选了泡面，吃得香#老婆,08-27 22:07:38,14秒,--,--,29570,2891,138,Rainbow Couple
深夜放毒，哈哈，吃了继续干活！,08-26 00:41:51,25秒,--,--,11931,1200,96,Rainbow Couple
看了大家的评论，弟媳从昨天到今天对自己都开始怀疑了，哈哈哈哈哈#搞笑,08-25 18:26:31,23秒,--,--,13551,1071,97,Rainbow Couple
时间过得好快，6个月了，19斤多了，健康平安就好,08-24 20:05:38,20秒,--,--,12357,2571,83,Rainbow Couple
要学会自己爱自己,08-24 20:04:50,19秒,--,--,24171,1885,440,Rainbow Couple
阿姨也很幽默，哈哈，遇到一个好的阿姨真的太省心了，孩子交给她放心,08-24 19:56:35,29秒,--,--,44621,1268,480,Rainbow Couple
真是不敢前进又不得不想办法了，但是前方也不知道是路还是悬崖,08-24 19:24:53,46秒,--,--,28883,2312,408,Rainbow Couple
我们这一辈不努力，下一辈就要吃我们一样的苦，甚至更苦，所以，一起加油吧#抖in宝贝计划 #宝贝安心开学季,08-24 19:18:59,1分2秒,--,--,26392,1125,1338,Rainbow Couple
谢谢你们给我的力量和勇气，都说看我直播需要勇气，看来我们都是勇敢的人，哈哈,08-23 17:58:26,20秒,--,--,70748,6222,468,Rainbow Couple
大自然的搬运工#日常vlog,08-22 21:36:55,14秒,--,--,9225,2819,74,Rainbow Couple
其实我都知道，我真的很抱歉，辣眼睛了，这个打基础的阶段，我必须扛过去#抖音818新潮好物节,08-18 18:45:32,42秒,--,--,52148,6564,779,Rainbow Couple
无论你们怎么笑话我，我都不会退缩，我就是在这样的环境成长起来的，给我点时间，我不会让你们失望,08-18 18:25:47,1分5秒,--,--,109044,36695,969,Rainbow Couple
做任何事都在寻找一个平衡点，我有自知之明，所以不断的逼着自己往前爬#抖音818新潮好物节,08-18 16:09:54,8秒,--,--,50954,2375,410,Rainbow Couple
当时其实也没觉得苦，觉得正常，习惯了。但现在想想，都不知道怎么过来的，庆幸的是身边一路都是彼此,08-18 14:10:51,8秒,--,--,34448,1494,278,Rainbow Couple
临时决定818播，然后只能加班通宵#抖音818新潮好物节,08-18 01:49:31,21秒,--,--,15437,2362,139,Rainbow Couple
妈妈上半辈子真的付出了太多，最对不起的就是她#抖音818新潮好物节,08-15 09:54:30,1分15秒,--,--,85810,5245,514,Rainbow Couple
最怕的是对未来没有规划，心里发慌#抖音818新潮好物节,08-15 09:44:01,49秒,--,--,24905,2975,326,Rainbow Couple
爱自己也是一种能力，愿所有人都学会爱自己#抖音818新潮好物节,08-15 09:24:39,1分7秒,--,--,56134,4502,825,Rainbow Couple
久等了，老老小小#抖音818新潮好物节,08-15 09:17:33,8秒,--,--,21486,802,165,Rainbow Couple
你们赋予我能量，我会努力，硬着头皮上#抖音818新潮好物节,08-15 09:08:17,1分20秒,--,--,110716,7962,4136,Rainbow Couple
不到6个月，体重再创新高，19斤，但是还不长牙齿#抖音818新潮好物节,08-14 19:46:07,36秒,--,--,15810,3165,104,Rainbow Couple
这是每天最放松最开心的时刻，陪孩子的时间太少了，我知道未来会后悔，但似乎没有办法，哎,08-13 19:03:49,11秒,--,--,30374,1432,168,Rainbow Couple
每天都在选都在吃，在这样下去我又要胖#抖音818新潮好物节,08-13 14:25:49,37秒,--,--,20408,3868,285,Rainbow Couple
凡事让一让，退一步海阔天空，但是既然耗了这么久了，又自己退让了，白耗了，对方还更嚣张的样子,08-12 21:44:03,16秒,--,--,42445,2722,180,Rainbow Couple
真的是第一次遇到这种情况，我老公第一次在外面这么冲，两边都劝不动，怎么办,08-12 18:26:03,44秒,--,--,60806,3904,350,Rainbow Couple
这么多人又要误会我了，关于这种我真的不知道怎么办，都想直接给你们发出，不让你们误会，但都不知道该找谁,08-09 21:52:38,55秒,--,--,17390,3606,310,Rainbow Couple
#抖音818新潮好物节 那天陪我们破亿到最后的，记得来,08-08 18:55:02,5秒,--,--,13159,2285,188,Rainbow Couple
一家人住一起快一年了，弥补了前30年各奔东西的打工，无法陪在身边的遗憾，谢谢你们#感恩,08-08 11:44:27,43秒,--,--,64102,5350,871,Rainbow Couple
其实平时怎么嘲笑我都没事，但是看到嘉宾被骂，心里还是有点难过，对方看到肯定都后悔来，不过我会努力的,08-08 11:13:57,34秒,--,--,46945,17456,501,Rainbow Couple
答应的我会做到，真的很抱歉。其实我老公也不是故意，他不太会表达，没有恶意#感恩,08-08 09:18:30,52秒,--,--,18972,1932,212,Rainbow Couple
中途好几次想放弃，还好坚持了。真的谢谢你们的信任，陪伴与见证，我何德何能#感恩,08-08 08:56:15,23秒,--,--,82385,4374,1528,Rainbow Couple
上一场下播的时候让大家失望了，我说过，会给你们补上,08-07 21:29:16,6秒,--,--,12862,3120,109,Rainbow Couple
真的不是故意，哎，让陪我到最后的粉丝们失望了，抱歉#对不起,08-04 03:24:00,1分23秒,--,--,21146,6087,158,Rainbow Couple
科科真的很高，我身高1米8，他比我还高很多#8月3日中午12点彩虹生日破亿大场 #抖音818新潮好物节,08-03 19:42:06,19秒,--,--,36210,3708,2318,Rainbow Couple
本人真的超帅超立体超高#8月3日中午12点彩虹生日破亿大场 #抖音818新潮好物节,08-03 19:37:49,12秒,--,--,8378,977,216,Rainbow Couple
从未想过生日他能来，感恩#8月3日中午12点彩虹生日破亿大场 #抖音818新潮好物节,08-03 19:31:06,20秒,--,--,18348,1929,482,Rainbow Couple
好帅啊#8月3日中午12点彩虹生日破亿大场,08-03 17:23:31,1分53秒,--,--,13245,1707,472,Rainbow Couple
彩虹好激动啊,08-03 17:17:08,11秒,--,--,31627,2169,751,Rainbow Couple
科科来啦#抖音818新潮好物节 #8月3日中午12点彩虹生日破亿大场,08-03 16:37:40,16秒,--,--,9615,1147,138,Rainbow Couple
#8月3日中午12点彩虹生日破亿大场 #抖音818新潮好物节,08-03 11:57:01,9秒,--,--,46187,4943,363,Rainbow Couple
回到古时候，我的舞蹈肯定惊艳皇上#8月3日中午12点彩虹生日破亿大场 #抖音818新潮好物节,08-03 11:53:18,20秒,--,--,40084,3681,270,Rainbow Couple
我是个穿越，哈哈#8月3日中午12点彩虹生日破亿大场 #抖音818新潮好物节,08-03 11:51:22,9秒,--,--,22060,1767,277,Rainbow Couple
希望所有看到的人都平安健康#8月3日中午12点彩虹生日破亿大场 #抖音818新潮好物节,08-03 11:50:23,19秒,--,--,24318,619,722,Rainbow Couple
从小女孩到大女人#8月3日中午12点彩虹生日破亿大场 #抖音818新潮好物节,08-03 11:48:18,6秒,--,--,9897,1279,72,Rainbow Couple
自创新发型，你们感觉如何#8月3日中午12点彩虹生日破亿大场 #抖音818新潮好物节,08-03 11:20:11,1分14秒,--,--,16633,3945,675,Rainbow Couple
终于不怕过生日了，因为爱的人都在身边了#8月3日中午12点彩虹生日破亿大场 #抖音818新潮好物节,08-03 10:57:53,15秒,--,--,8126,443,144,Rainbow Couple
曾经说我嘴巴大的人，好好看看！#8月3日中午12点彩虹生日破亿大场 #抖音818新潮好物节,08-03 10:49:50,23秒,--,--,108876,8525,1125,Rainbow Couple
能让爱的人都在身边，真的感恩大家的支持与信任#8月3日中午12点彩虹生日破亿大场 #抖音818新潮好物节,08-03 09:59:52,27秒,--,--,14488,1118,86,Rainbow Couple
5个多月，18.5斤，妈妈已经追奶成功，终于又基本够吃了#8月3日中午12点彩虹生日破亿大场,08-03 09:25:41,11秒,--,--,57008,8044,668,Rainbow Couple
31岁，终于，爱的人都环绕身边#8月3日中午12点彩虹生日破亿大场 #抖音818新潮好物节,08-03 08:09:05,20秒,--,--,7280,659,80,Rainbow Couple
5个小时没吸，一次就吸了240毫升，算多吧#8月3日中午12点彩虹生日破亿大场 #抖音818新潮好物节,08-03 02:42:09,9秒,--,--,28943,3889,167,Rainbow Couple
是他是他就是他，我们的朋友，小科科#8月3日中午12点彩虹生日破亿大场 #抖音818新潮好物节,08-02 22:32:03,22秒,--,--,15983,1461,316,Rainbow Couple
剪个头发儿子竟然不认识我了#8月3日中午12点彩虹生日破亿大场 #抖音818新潮好物节,08-02 21:27:23,13秒,--,--,24116,2056,175,Rainbow Couple
突然特别紧张，临时决定来租礼服，哪件更好？#8月3日中午12点彩虹生日破亿大场 #抖音818新潮好物节,08-02 20:12:26,31秒,--,--,34939,23864,377,Rainbow Couple
感觉整个头轻了很多很多，期待生日#8月3日中午12点彩虹生日破亿大场 #抖音818新潮好物节,08-02 17:29:57,8秒,--,--,45703,14855,538,Rainbow Couple
感觉如何？我自己看不出来#8月3日中午12点彩虹生日破亿大场 #抖音818新潮好物节,08-02 16:56:51,33秒,--,--,37703,14472,700,Rainbow Couple
又开始容貌焦虑了，又开始折腾了，哎，不过很期待#8月3日中午12点彩虹生日破亿大场 #抖音818新潮好物节,08-02 15:31:43,58秒,--,--,11687,1492,135,Rainbow Couple
最终也不知道这些摄影师的眼睛被我治好没有？真担心他们！#8月3日中午12点彩虹生日破亿大场,08-01 15:14:12,40秒,--,--,14260,1078,178,Rainbow Couple
太难了太难了太难了#8月3日中午12点彩虹生日破亿大场 #抖音818新潮好物节,07-31 15:18:49,11秒,--,--,8951,3178,453,Rainbow Couple
抱歉上传错了，我已经惩罚弟弟不准生二胎了#8月3日中午12点彩虹生日破亿大场 #抖音818新潮好物节,07-28 23:25:08,17秒,--,--,12227,693,55,Rainbow Couple
为生日做准备，各种试吃，吃了一天了#8月3日中午12点彩虹生日破亿大场 #抖音818新潮好物节,07-28 23:01:33,17秒,--,--,3848,682,30,Rainbow Couple
即将跨入奔4的第一步，我越来越老，他越来越小#8月3日中午12点彩虹生日破亿大场 #抖音818新潮好物节,07-28 21:12:05,9秒,--,--,27077,1686,298,Rainbow Couple
优胜劣汰#8月3日中午12点彩虹生日破亿大场 #抖音818新潮好物节,07-28 17:40:56,14秒,--,--,6346,1354,59,Rainbow Couple
突然就有了高中时的感觉，他在对牛弹琴，我在斗弹琴的人#8月3日中午12点彩虹生日破亿大场,07-27 22:50:40,24秒,--,--,4395,1468,44,Rainbow Couple
即将迈入40岁的第一步，一定要开个好头，一定要足够给力#8月3日中午12点彩虹生日破亿大场,07-27 20:46:52,11秒,--,--,17638,8118,93,Rainbow Couple
夫妻吵架，床头吵床下和,07-25 20:51:28,24秒,--,--,23718,1722,243,Rainbow Couple
不承认，你能怎么滴，哈哈哈哈,07-25 20:49:33,9秒,--,--,21315,855,510,Rainbow Couple
如实告知，买得安心,07-25 20:46:54,1分8秒,--,--,18121,2712,1378,Rainbow Couple
思来想去，还是决定回应一下，因为有的话太难听。如果这样都不信，我也没办法了,07-25 20:23:17,22秒,--,--,134844,11098,444,Rainbow Couple
最对不起的就是这个小宝贝了，一天到晚看不到妈妈。不过幸好找了个很好的阿姨,07-25 20:07:19,25秒,--,--,26983,1120,90,Rainbow Couple
真好喝，哈哈,07-25 19:35:34,8秒,--,--,12417,1132,105,Rainbow Couple
我妈整天都在想方设法给我捯饬，但是我真的不想啊#老妈,07-25 15:55:14,57秒,--,--,27773,1135,116,Rainbow Couple
注意看店员的表情，哈哈哈,07-25 14:24:47,39秒,--,--,127555,6056,2332,Rainbow Couple
这几天没有更新，也在联络落实这个事，希望一切快快好起来#河南加油,07-25 09:57:21,25秒,--,--,87015,4135,249,Rainbow Couple
其实我也不愿意声嘶力竭，我想数据好看点，不想掉下来，感恩理解与包容,07-25 09:47:05,1分15秒,--,--,14177,2129,216,Rainbow Couple
让大家担心了，放心，已经没事了，和好了,07-25 09:31:58,59秒,--,--,186643,11588,1568,Rainbow Couple
尽力了，希望一切平安健康。我老公看到这个视频，不知道会不会气晕，我先把门反锁,07-21 21:23:44,54秒,--,--,406759,31722,5916,Rainbow Couple
一胎的时候几乎每天给我熬，二胎这是第一次#7月25日上午10点年中大庆,07-20 20:09:31,9秒,--,--,27001,2274,191,Rainbow Couple
不够他吃了，最近在努力追奶，一个多小时就吸一次，但是感觉没啥用，今天姨妈都来了，是不是代表追不回来了,07-19 19:49:02,17秒,--,--,25872,2836,107,Rainbow Couple
这个愿望永远都达不成了#7月17日上午10点大型直播,07-17 20:25:29,7秒,--,--,24241,1200,270,Rainbow Couple
见不得别人好，别人未必不好，希望别人好，你一定越来越好#7月17日上午10点大型直播,07-17 16:39:08,14秒,--,--,53597,2643,2015,Rainbow Couple
4个多月，17.5斤，可惜最近不够他吃了，可能要吃奶粉了，好自责，哥哥都吃到1岁2个月,07-17 16:37:40,10秒,--,--,30583,2443,356,Rainbow Couple
我公公不善言谈，但是无意中从他的眼神我知道，他很心疼我,07-17 15:39:18,10秒,--,--,89424,4679,835,Rainbow Couple
希望三胎来个女儿#7月17日上午10点大型直播,07-17 09:44:25,12秒,--,--,9615,661,84,Rainbow Couple
你们看像谁#7月17日上午10点大型直播,07-17 09:41:22,7秒,--,--,9696,3494,93,Rainbow Couple
有时候走在路上他们都会离我远点，假装不认识我#7月17日上午10点大型直播,07-17 09:39:41,20秒,--,--,13075,1050,212,Rainbow Couple
弟媳越来越搞笑了#7月17日上午10点大型直播,07-17 09:14:29,22秒,--,--,44282,1118,558,Rainbow Couple
娶到胖胖的就是赚到了#7月17日上午10点大型直播,07-17 09:02:27,12秒,--,--,37084,1090,3294,Rainbow Couple
有了孩子后，各种担心受怕，希望所有宝贝都健康平安#7月17日上午10点大型直播,07-17 08:39:22,40秒,--,--,10756,3896,104,Rainbow Couple
很久没凌晨3点之前睡过觉了，弟弟妹妹们也跟着我熬夜，忙完这一阵带他们出去走走#7月17日上午10点大型直播,07-16 02:07:46,9秒,--,--,13913,838,69,Rainbow Couple
家里三个宝贝被迫营业中#7月17日上午10点大型直播,07-15 20:33:05,10秒,--,--,9630,1015,9,Rainbow Couple
你们阔以你们阔以#这届粉丝太难带,07-14 17:47:54,19秒,--,--,70192,4599,286,Rainbow Couple
不知道是否应该叫醒她#沙雕 #老婆,07-14 09:29:24,14秒,--,--,31016,3522,172,Rainbow Couple
真怕你们烦我，我自己都觉得自己烦#感恩有你,07-12 21:53:49,21秒,--,--,35135,6763,210,Rainbow Couple
感恩陪伴，目标还没达成，晚上继续加油#7月11上午10点冲刺500万粉大型直播,07-11 17:53:48,10秒,--,--,73058,4797,1085,Rainbow Couple
任何事情有得就有失，不羡慕别人，珍惜当下#7月11上午10点冲刺500万粉大型直播,07-11 09:52:08,38秒,--,--,40349,3020,568,Rainbow Couple
其实有时候也无奈，感恩理解与包容#7月11上午10点冲刺500万粉大型直播,07-11 09:41:22,1分20秒,--,--,84717,4734,1776,Rainbow Couple
我老公好想假装不认识我们#7月11上午10点冲刺500万粉大型直播,07-11 09:05:44,23秒,--,--,123028,6473,3557,Rainbow Couple
担心了好几天了，哎，还是忍不住测一测#7月11上午10点冲刺500万粉大型直播,07-11 08:31:28,35秒,--,--,61575,8112,1184,Rainbow Couple
我老公说:你要是长得好看点，肯定是会上天的，幸好#7月11上午10点冲刺500万粉大型直播,07-11 08:12:41,12秒,--,--,62506,2612,1132,Rainbow Couple
准备起床啦#7月11上午10点冲刺500万粉大型直播,07-11 08:04:32,13秒,--,--,11501,793,56,Rainbow Couple
临时决定再来买更多，这次一定更有诚意！#7月11上午10点冲刺500万粉大型直播,07-10 21:12:06,9秒,--,--,21158,3643,210,Rainbow Couple
不想谈，心里暂时接受不了，总归是我们错付了#7月11上午10点冲刺500万粉大型直播,07-10 14:06:17,27秒,--,--,20131,1485,181,Rainbow Couple
弟弟永远都是傻呼呼的，哈哈哈哈#7月11上午10点冲刺500万粉大型直播,07-10 11:48:53,8秒,--,--,17136,650,273,Rainbow Couple
那些人伤害你的人，那些自私势力的人，老天会帮你惩罚他们的#7月11上午10点冲刺500万粉大型直播,07-09 20:00:59,21秒,--,--,36767,2348,1735,Rainbow Couple
都说我们像70，80后，其实都是90后，只是长得急了点#7月11上午10点冲刺500万粉大型直播,07-09 16:03:20,16秒,--,--,17825,1151,170,Rainbow Couple
兄弟姐妹住在一起真的太搞笑了#7月11上午10点冲刺500万粉大型直播,07-09 14:56:33,27秒,--,--,15859,2579,724,Rainbow Couple
求弟弟心里阴影面积，哈哈哈哈哈#7月11上午10点冲刺500万粉大型直播,07-09 14:29:47,14秒,--,--,19790,864,323,Rainbow Couple
本来都在减肥，现在都不减了，吃了再说#7月11上午10点冲刺500万粉大型直播,07-09 13:07:02,19秒,--,--,54554,2388,2708,Rainbow Couple
感恩所有同学当初的包容与不嫌弃，其实越成功的人素质越高#7月11上午10点冲刺500万粉大型直播,07-07 22:02:27,1分3秒,--,--,35373,1392,2018,Rainbow Couple
大儿子错过了很多针，小儿子的就很谨慎了，但是不是打太多了#7月11上午10点冲刺500万粉大型直播,07-07 14:53:48,40秒,--,--,15371,3827,150,Rainbow Couple
今天一定加班弄完，感恩信任与陪伴#7月11上午10点冲刺500万粉大型直播,07-06 17:42:37,44秒,--,--,15211,2012,82,Rainbow Couple
这个是已经纠结很久了，大家给我一点意见吧#彩虹夫妇破400万粉丝重磅回馈,07-04 19:17:30,25秒,--,--,39555,6206,324,Rainbow Couple
说出来可能会让一些人心里不舒服，但我不想骗大家，真的感恩信任#彩虹夫妇破400万粉丝重磅回馈,07-04 11:40:39,1分47秒,--,--,255863,14963,10689,Rainbow Couple
曾经一度想去剃了，但是不知道效果如何，现在知道了，你们觉得怎么样#彩虹夫妇破400万粉丝重磅回馈,07-04 11:13:58,6秒,--,--,24482,3403,483,Rainbow Couple
今天俺是花仙子，好看是好看，就是有点废脖子#彩虹夫妇破400万粉丝重磅回馈,07-04 11:09:56,14秒,--,--,47401,3044,1033,Rainbow Couple
如果我犯了什么错请让法律来制裁我，而不是安排这货来折磨我#彩虹夫妇破400万粉丝重磅回馈,07-04 10:51:17,18秒,--,--,19700,931,150,Rainbow Couple
没有颜值没有背景，咱们就只有靠自己扛过所有，努力成为家里的大树，加油#彩虹夫妇破400万粉丝重磅回馈,07-04 10:00:35,1分22秒,--,--,52202,3702,1698,Rainbow Couple
我真怕自己又冲动啊#彩虹夫妇破400万粉丝重磅回馈,07-04 09:52:17,22秒,--,--,24662,2490,276,Rainbow Couple
麻烦帮我看看我老婆怎么了#彩虹夫妇破400万粉丝重磅回馈,07-04 09:37:15,15秒,--,--,24584,1277,377,Rainbow Couple
听说你们不太喜欢我上次的造型，没事，不喜欢就换！告诉我，喜欢哪种？#彩虹夫妇破400万粉丝重磅回馈,07-03 15:02:25,20秒,--,--,21117,7982,131,Rainbow Couple
又是心痛的一天，马上放水，我对我自己的吹功不抱希望啊#彩虹夫妇破400万粉丝重磅回馈,07-03 14:18:55,16秒,--,--,48611,3119,528,Rainbow Couple
女人真的很善变，不买要挨骂，买了还得挨骂，做男人太难了#彩虹夫妇破400万粉丝重磅回馈,07-02 20:03:35,29秒,--,--,69216,7428,845,Rainbow Couple
发个库存，回忆一下当时做作的我，自己都想抽自己！浑身不自在！#彩虹夫妇破400万粉丝重磅回馈,07-02 18:01:17,20秒,--,--,49726,3029,332,Rainbow Couple
我们啥也不是，只是大自然的搬运工#彩虹夫妇破400万粉丝重磅回馈,07-02 16:22:20,6秒,--,--,24254,2375,178,Rainbow Couple
你们帮我看看，我老婆是不是有点问题，在一起十年，我不太确定#彩虹夫妇破400万粉丝重磅回馈,07-02 15:15:02,15秒,--,--,29083,1819,124,Rainbow Couple
不要任性啦，快自己检查一下吧#彩虹夫妇破400万粉丝重磅回馈,07-01 23:09:38,15秒,--,--,32588,6508,195,Rainbow Couple
他们本来想改造我，结果现在全都跟我一样了，小姑子这样下去不行啊#彩虹夫妇破400万粉丝重磅回馈,06-30 22:27:03,35秒,--,--,17558,1231,92,Rainbow Couple
记得第一次买了个贵的包，就是导购很不耐烦，我赌气买了，这次不上当了#彩虹夫妇破400万粉丝重磅回馈,06-30 21:06:28,20秒,--,--,16811,1592,129,Rainbow Couple
女人啊，哎，包治百病治不了我，我觉得就是累赘！出门两袖清风多好#彩虹夫妇破400万粉丝重磅回馈,06-30 20:30:22,27秒,--,--,35906,5861,665,Rainbow Couple
吃东西不守着垃圾桶就没有安全感，我该如何拯救她#彩虹夫妇破400万粉丝重磅回馈,06-30 15:14:57,18秒,--,--,32821,3132,117,Rainbow Couple
再见了我的爱，去跟着更适合你的主人吧#彩虹夫妇破400万粉丝重磅回馈,06-29 17:27:40,29秒,--,--,12057,2791,43,Rainbow Couple
一路走来，感恩所有#彩虹夫妇十周年庆,06-27 18:56:50,10秒,--,--,45049,4129,122,Rainbow Couple
我朋友告诉我女人会喜欢，结果事后还被骂了一顿，看来朋友不靠谱了，哎#彩虹夫妇十周年庆,06-27 18:42:09,24秒,--,--,70557,4819,282,Rainbow Couple
晚上7点#彩虹夫妇十周年庆,06-27 17:49:48,10秒,--,--,69931,9194,150,Rainbow Couple
今天千万不要逗我笑，化妆师让我一定稳住，你们别逗我啊#彩虹夫妇十周年庆,06-27 11:40:39,18秒,--,--,180634,20703,894,Rainbow Couple
从2011到2021，幸运的是，无论平穷或富裕，身边至始至终都是你#彩虹夫妇十周年庆,06-27 11:11:07,1分34秒,--,--,567056,22286,14160,Rainbow Couple
我的憨憨今天真帅，以前总觉得他太古板不够浪漫不贴心，但是十年过去了，真的觉得这样的男人值得#彩虹夫妇十周年庆,06-27 08:03:28,17秒,--,--,26083,1813,121,Rainbow Couple
天啊，真的比我当初结婚还激动，我实在睡不着啊，怎么办嘛，好想睡啊#彩虹夫妇十周年庆,06-27 05:07:08,11秒,--,--,33531,1932,86,Rainbow Couple
眼前这个男人，就是我当初辛辛苦苦追了2年的学霸，现在是我两个孩子的爸爸。转眼间，竟十年了#彩虹夫妇十周年庆,06-27 04:01:21,29秒,--,--,23700,1264,88,Rainbow Couple
姐妹们兄弟们，今天辛苦你们帮我出主意了，我对这方面实在没有眼光，最后再帮我选一下吧#彩虹夫妇十周年庆,06-26 18:38:48,13秒,--,--,36408,46713,95,Rainbow Couple
很久没买衣服鞋子首饰了，今天做了一天正常女人，发现做女人真的太累太累了，我滴天啊#彩虹夫妇十周年庆,06-26 18:10:08,30秒,--,--,30881,3208,84,Rainbow Couple
这些都是导购帮我选的，如果我非得买两件，你们觉得最应该买拿两件？我实在是欣赏不来#彩虹夫妇十周年庆,06-26 16:50:13,32秒,--,--,14150,35251,72,Rainbow Couple
我要去买衣裳鞋子包包啦！哈哈哈哈哈哈，还需要做什么？快告诉我，爱你们#彩虹夫妇十周年庆,06-26 15:22:12,15秒,--,--,168277,14916,440,Rainbow Couple
姐妹们，快快来帮我打造一下，这次我竟然有前所未有滴冲动想变美！天啊，中毒了！#彩虹夫妇十周年庆,06-26 14:11:58,15秒,--,--,124452,23644,891,Rainbow Couple
