Video_content,Release_time,The_video_duration,Estimated_Sales_volume_(pieces),Estimated_sales_amount,Number_of_likes,Number_of_comments,Number_of_reposts,Name
这几套我可真的太喜欢了！#韩系穿搭 #小个子显高显瘦穿搭 #高级感穿搭 #游鹿鹿,07-18 09:20:16,13秒,--,--,2574,333,235,Lovemimius
枫叶红的风衣是多么的少有！#高级感穿搭 #韩系穿搭 #小个子显高显瘦穿搭 #穿搭 #游鹿鹿,07-18 07:03:09,15秒,--,--,15506,648,250,Lovemimius
今天的复习功课看了没？明天还会有惊喜的#韩系穿搭 #高级感穿搭 #小个子显高显瘦穿搭 #游鹿鹿,07-17 19:42:10,18秒,--,--,11526,787,379,Lovemimius
我就是中国美术学院，爱画漫画怎么了#插画 #游鹿鹿 #手绘,07-17 10:25:07,17秒,--,--,39826,1942,440,Lovemimius
挡不住的少女诱惑啊#探店 #高级感穿搭 #韩系穿搭 #游鹿鹿,07-17 07:08:08,16秒,--,--,14821,506,365,Lovemimius
爱胖子爱生活 有胖子最棒！#探店 #韩系穿搭 #高级感穿搭 #游鹿鹿 #小个子显高显瘦穿搭,07-16 19:43:34,25秒,--,--,14996,779,458,Lovemimius
来一起回顾一下7月15都有哪些#高级感穿搭 #小个子显高显瘦穿搭 #韩系穿搭 #游鹿鹿,07-16 11:59:01,21秒,--,--,34620,2148,2742,Lovemimius
39度的杭州也抵挡不住我对毛衣的热情#高级感穿搭 #温柔风 #小个子显高显瘦穿搭 #游鹿鹿,07-15 10:07:11,13秒,--,--,7195,494,263,Lovemimius
又剁手一个2w的风衣 不过版型面料是真的绝绝子#高级感穿搭 #探店 #游鹿鹿,07-15 08:48:37,13秒,--,--,16184,419,601,Lovemimius
小香就真的就是越看越好看的那种！#高级感穿搭 #探店 #温柔风 #游鹿鹿 #穿搭,07-15 07:02:40,25秒,--,--,15096,447,409,Lovemimius
秋天少不了的就是各种美美的衬衫#高级感穿搭 #小个子显高显瘦穿搭 #温柔风 #游鹿鹿,07-14 19:43:36,15秒,--,--,7885,537,167,Lovemimius
今天逛了最爱的中古店，淘了一些小东西来搭配 真满意#穿搭 #探店 #耳环控 #游鹿鹿,07-14 12:17:36,26秒,--,--,29881,437,262,Lovemimius
